# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1666059850.051656723022461,0.01396,0.00081,0.00107,0.00265,0.00077,0.00197,0.02123
1666059850.151640415191650,0.01664,0.00052,0.00050,0.00184,0.00003,0.00411,0.02363
1666059850.251643657684326,0.01019,0.00083,0.00393,0.00284,0.00142,0.00201,0.02121
1666059850.351639270782471,0.01088,0.00257,0.00143,0.00198,0.00004,0.00167,0.01856
1666059850.451641321182251,0.00814,0.00099,0.00044,0.00236,0.00125,0.00158,0.01475
1666059850.551644563674927,0.00653,0.00036,0.00068,0.00107,0.00237,0.00163,0.01264
1666059850.651614189147949,0.00590,0.00072,0.00250,0.00510,0.00492,0.00150,0.02063
1666059850.751620292663574,0.01905,0.00050,0.00284,0.00413,0.00370,0.00136,0.03159
1666059850.851611614227295,0.01041,0.00195,0.00617,0.00146,0.00097,0.00133,0.02229
1666059850.951603651046753,0.01772,0.00075,0.00206,0.00152,0.00416,0.00234,0.02855
1666059851.051603078842163,0.00844,0.00137,0.00427,0.00128,0.00018,0.00151,0.01706
1666059851.151600122451782,0.01042,0.00068,0.00064,0.00234,0.00071,0.00193,0.01672
1666059851.251618146896362,0.00696,0.00050,0.00359,0.00327,0.00084,0.00145,0.01661
1666059851.351614236831665,0.01381,0.00105,0.00273,0.00242,0.00010,0.00374,0.02386
1666059851.451597929000854,0.00610,0.00083,0.00115,0.00302,0.00532,0.00188,0.01830
1666059851.551580429077148,0.01407,0.00073,0.00274,0.00111,0.00108,0.00191,0.02163
1666059851.651577711105347,0.00892,0.00249,0.00270,0.00105,0.00161,0.00152,0.01830
1666059851.751562833786011,0.00729,0.00034,0.00100,0.00102,0.00009,0.00151,0.01125
1666059851.851546764373779,0.00552,0.00034,0.00154,0.00080,0.00104,0.00297,0.01222
1666059851.951556921005249,0.01767,0.00061,0.00487,0.00198,0.00128,0.00160,0.02801
1666059852.051564931869507,0.01761,0.00238,0.00249,0.00133,0.00231,0.00160,0.02772
1666059852.151575565338135,0.01258,0.00114,0.00154,0.00162,0.00331,0.00523,0.02542
1666059852.251584768295288,0.00943,0.00068,0.00194,0.00633,0.00270,0.00170,0.02279
1666059852.351597785949707,0.00813,0.00113,0.00712,0.00445,0.00715,0.00147,0.02944
1666059852.451610326766968,0.01654,0.00212,0.00544,0.00205,0.00007,0.00140,0.02763
1666059852.551622152328491,0.00793,0.00078,0.00201,0.00552,0.00199,0.00151,0.01975
1666059852.651626348495483,0.01024,0.00035,0.00077,0.00117,0.00200,0.00126,0.01578
