# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954584.052250623703003,0.00398,0.00033,0.00078,0.00089,0.00363,0.00220,0.01180
1664954584.152251005172729,0.00687,0.00036,0.00035,0.00108,0.00276,0.00284,0.01426
1664954584.252225875854492,0.00429,0.00035,0.00172,0.00163,0.00554,0.00244,0.01597
1664954584.352249622344971,0.00460,0.00042,0.00018,0.00137,0.00049,0.00228,0.00934
1664954584.452241182327271,0.00479,0.00036,0.00049,0.00178,0.00106,0.00270,0.01117
1664954584.552224874496460,0.00404,0.00045,0.00014,0.00210,0.00018,0.00498,0.01189
1664954584.652228593826294,0.00404,0.00033,0.00099,0.00112,0.00000,0.00221,0.00869
1664954584.752171277999878,0.00903,0.00052,0.00113,0.00152,0.01328,0.00338,0.02886
1664954584.852161169052124,0.00475,0.00036,0.00042,0.00230,0.00000,0.00240,0.01024
1664954584.952188491821289,0.00600,0.00034,0.00022,0.00256,0.00000,0.00320,0.01232
1664954585.052057266235352,0.00431,0.00033,0.00007,0.00173,0.00511,0.00351,0.01506
1664954585.152105569839478,0.00565,0.00034,0.00011,0.00351,0.00001,0.00291,0.01253
1664954585.252038478851318,0.00444,0.00033,0.00013,0.00225,0.00979,0.00327,0.02021
1664954585.352085113525391,0.00492,0.00036,0.00016,0.00283,0.00946,0.00241,0.02014
1664954585.452152729034424,0.00407,0.00035,0.00013,0.00391,0.00173,0.00339,0.01359
1664954585.552039623260498,0.00571,0.00039,0.00060,0.00389,0.00002,0.00239,0.01299
1664954585.652050495147705,0.00686,0.00037,0.00066,0.00353,0.00100,0.00218,0.01461
1664954585.752059459686279,0.00557,0.00037,0.00012,0.00528,0.00000,0.00268,0.01401
1664954585.852057933807373,0.00542,0.00036,0.00420,0.00517,0.00996,0.00240,0.02750
1664954585.952053785324097,0.00560,0.00038,0.00016,0.00548,0.00144,0.00336,0.01642
1664954586.052052736282349,0.00439,0.00041,0.00020,0.00527,0.00000,0.00350,0.01376
1664954586.152060508728027,0.00671,0.00035,0.00009,0.00415,0.00000,0.00260,0.01390
1664954586.252063035964966,0.00597,0.00036,0.00021,0.00473,0.00000,0.00241,0.01368
1664954586.352073192596436,0.00542,0.00046,0.00113,0.00373,0.00000,0.00272,0.01346
1664954586.452053070068359,0.00447,0.00034,0.00010,0.00318,0.00498,0.00283,0.01591
1664954586.552057981491089,0.00479,0.00042,0.00002,0.00370,0.00312,0.00417,0.01622
1664954586.652056455612183,0.00456,0.00034,0.00063,0.00531,0.00025,0.00220,0.01329
1664954586.752052545547485,0.00585,0.00040,0.00005,0.00488,0.00023,0.00248,0.01388
1664954586.852066040039062,0.00443,0.00061,0.00086,0.00424,0.00647,0.00214,0.01876
1664954586.952088356018066,0.00756,0.00041,0.00029,0.00437,0.00003,0.00356,0.01622
1664954587.052080154418945,0.00447,0.00036,0.00017,0.00516,0.00444,0.00297,0.01758
